Name,Price (BDT),Shop,Link
Deepcool GH-01 A-RGB Graphics Card Holder,1200,StarTech,https://www.startech.com.bd/deepcool-gh-01-a-rgb-graphics-card-holder
MSI GAMING GEFORCE GT 710 1GB GDRR3 GRAPHICS CARD,4400,TechLand,https://www.techlandbd.com/msi-gaming-geforce-gt-710-1gb-graphics-card
MSI GT 710 1GD3H LP 1GB DDR3 Graphics Card,4400,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-gt-710-1gd3h-lp-1gb-ddr3-graphics-card
Colorful GeForce GT710-2GD3-V 2GB Graphics Card,4500,TechLand,https://www.techlandbd.com/colorful-geforce-gt710-2gd3-v-graphics-card
Colorful GeForce GT710-2GD3-V 2GB Graphics Card,4600,StarTech,https://www.startech.com.bd/colorful-geforce-gt710-2gd3-v-graphics-card
Gigabyte GT 710 2GB DDR5 Graphics Card,4700,StarTech,https://www.startech.com.bd/gigabyte-gt-710-2gb-ddr5-graphics-card
Gigabyte GeForce GT 710 2GB Graphics Card,5000,TechLand,https://www.techlandbd.com/gigabyte-gv-n710d3-2gl-graphics-card
Palit GeForce GT 730 2GB DDR3 Graphics Card,6000,TechLand,https://www.techlandbd.com/palit-geforce-gt-730-graphics-card
GIGABYTE GeForce GT 730 2GB GDDR3 Graphics Card,6600,TechLand,https://www.techlandbd.com/gigabyte-gt-730-2gb-graphics-card
GIGABYTE GeForce GT 730 2GB GDDR5 Graphics Card,6800,TechLand,https://www.techlandbd.com/gigabyte-gt-730-2gb-gddr5-graphics-card
MSI GeForce GT 730 2GB DDR3 Graphics Card,7000,StarTech,https://www.startech.com.bd/msi-geforce-gt-730-graphics-card
MSI GeForce GT 730 2GB DDR3 PCI Express 2.0 Graphics Card,7000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-gt-730-graphics-card
Colorful GeForce GT730K LP 4GD3-V 4GB Graphics Card,7600,StarTech,https://www.startech.com.bd/colorful-geforce-gt730k-lp-4gd3-v-4gb-graphics-card
Asus Geforce Gt 730 2GB GDDR5 Graphics Card,8500,StarTech,https://www.startech.com.bd/asus-geforce-gt-730-2gb-gddr5-graphics-card
Asus GeForce GT 730 2GB GDDR5 Graphics Card,8500,TechLand,https://www.techlandbd.com/asus-geforce-gt-730-2gb-graphics-card
Palit GeForce GT 1030 2GB DDR4 Graphics Card,9000,TechLand,https://www.techlandbd.com/palit-geforce-gt-1030-2gb-graphics-card
Gigabyte GeForce GT 1030 Low Profile 2GB DDR5 Graphics Card,9500,StarTech,https://www.startech.com.bd/gigabyte-geforce-gt-1030-low-profile-graphics-card
GIGABYTE GeForce GT 1030 Low Profile D4 2GB Graphics Card,9500,StarTech,https://www.startech.com.bd/gigabyte-gt-1030-low-profile-d4-2gb-graphics-card
Gigabyte GeForce GT 1030 Low Profile D4 2GB Graphics Card,9500,TechLand,https://www.techlandbd.com/gigabyte-gt-1030-low-profile-d4-2gb-graphics-card
Gigabyte GT 1030 2GB OC Graphics card,9900,StarTech,https://www.startech.com.bd/gigabyte-ggt-1030-oc-2g
ASUS GeForce GT 1030 2GB GDDR5 low Profile Graphics Card,9900,StarTech,https://www.startech.com.bd/asus-geforce-gt-1030-graphics-card
Colorful GeForce GT1030 4G-V 4GB Graphics Card,10000,StarTech,https://www.startech.com.bd/colorful-geforce-gt1030-4g-v-graphics-card
Arktek GeForce GT 740 2GB GDDR5 Graphics Card,10000,StarTech,https://www.startech.com.bd/arktek-geforce-gt740-2-gb-gddr5-graphics-card
COLORFUL GEFORCE GT1030 4G-V 4GB GRAPHICS CARD,10000,TechLand,https://www.techlandbd.com/colorful-geforce-gt1030-4g-v-4gb-graphics-card
ASUS GeForce GT 1030 2GB GDDR5 Low Profile Graphics Card,10000,TechLand,https://www.techlandbd.com/asus-geforce-gt-1030-2gb-graphics-card
MSI GeForce GT 1030 AERO ITX 2GD4 OC DDR4 Graphics Card,10800,StarTech,https://www.startech.com.bd/msi-geforce-gt-1030-aero-itx-2gd4-oc-graphics-card
MSI GeForce GT 1030 AERO ITX OC 2GB GDDR5 Graphic Card,11000,StarTech,https://www.startech.com.bd/msi-geforce-gt-1030-aero-itx-oc-graphics-card
MSI GeForce GT 1030 AERO ITX OC 2GBD4 Graphic Card,11500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-gt-1030-aero-itx-oc-2gbd4-graphic-card
NVIDIA Quadro P1000 4GB GDDR5 Graphics Card (No Box),12000,StarTech,https://www.startech.com.bd/nvidia-quadro-p1000-4gb-gddr5-graphics-card
SAPPHIRE PULSE AMD RADEON RX 6400 4GB GDDR6 GAMING GRAPHICS CARD,12699,TechLand,https://www.techlandbd.com/sapphire-pulse-amd-radeon-rx-6400-4gb-graphics-card
Sapphire Pulse AMD Radeon RX 6400 4GB GDDR6 Graphics Card,12700,StarTech,https://www.startech.com.bd/sapphire-pulse-amd-radeon-rx-6400-graphics-card
SAPPHIRE PULSE AMD RADEON™ RX 6400 GAMING 4GB GDDR6 Graphics Card,13500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/sapphire-pulse-amd-radeon-rx-6400-gaming-4gb-gddr6-graphics-card
ASUS Phoenix Radeon RX 550 4GB DDR5 Evo Graphics Card,14000,StarTech,https://www.startech.com.bd/asus-phoenix-rx-550-4gb-evo-graphics-card
ASUS Phoenix Radeon RX 550 GDDR5 4GB Evo Graphics Card,14000,TechLand,https://www.techlandbd.com/asus-phoenix-rx-550-4gb-evo-graphics-card
Biostar Radeon RX550 4GB DDR5 Graphics Card,14500,TechLand,https://www.techlandbd.com/biostar-radeon-rx550-graphics-card
Colorful GeForce GTX1050Ti 4G-V 4GB GDDR5 Graphics Card,16500,StarTech,https://www.startech.com.bd/colorful-geforce-gtx1050ti-4g-v-4gb-graphics-card
AFOX Radeon RX 550 4GB GDDR5 Dual Fan Graphics Card,16800,StarTech,https://www.startech.com.bd/afox-radeon-rx-550-4gb-dual-fan-graphics-card
ZOTAC GAMING GeForce GTX 1630 4GB GDDR6 Graphics Card,17900,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-gtx-1630-4gb-graphics-card
PNY GeForce GTX 1650 Dual Fan 4GB GDDR6 GRAPHICS CARD,18499,TechLand,https://www.techlandbd.com/pny-gtx-1650-dual-fan-graphics-card
ZOTAC GeForce GTX 1630 4GB GDDR6 GAMING Graphics Card,18500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-geforce-gtx-1630-4gb-gddr60gaming-graphics-card
PNY GeForce GTX 1650 Dual-Fan 4GB GDDR6 Graphics Card,18900,StarTech,https://www.startech.com.bd/pny-gtx-1650-dual-fan-4gb-graphics-card
COLORFUL GEFORCE GTX 1650 NB 4GD6-V GRAPHICS CARD,18999,TechLand,https://www.techlandbd.com/colorful-geforce-gtx-1650-nb-4gd6-v-graphics-card
Asus Phoenix GeForce GTX 1630 4GB GDDR6 Graphics Card,19000,StarTech,https://www.startech.com.bd/asus-phoenix-geforce-gtx-1630-4gb-graphics-card
MSI RADEON RX 6400 AERO ITX 4G GDDR6 GRAPHICS CARD,19000,TechLand,https://www.techlandbd.com/msi-radeon-rx-6400-aero-itx-4g-gddr6-graphics-card
ASUS PHOENIX GEFORCE GTX 1630 4GB GDDR6 GRAPHICS CARD,19500,TechLand,https://www.techlandbd.com/asus-phoenix-gtx-1630-4gb-graphics-card
MSI GeForce GTX 1050 Ti 4GT OCV1 4GB GDDR5 Graphics Card,19800,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1050-ti-4gt-ocv1-graphics-card
GIGABYTE GEFORCE GTX 1050 TI D5 4G GDDR5 GRAPHICS CARD,19800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1050-ti-d5-4g-graphics-card
ASRock Intel Arc A380 Challenger ITX 6GB OC GDDR6 Graphics Card,19900,StarTech,https://www.startech.com.bd/asrock-intel-arc-a380-challenger-itx-6gb-oc-graphics-card
ASRock Intel Arc A380 Challenger ITX 6GB OC Graphics Card,19999,TechLand,https://www.techlandbd.com/asrock-intel-arc-a380-challenger-itx-6gb-graphics-card
Colorful GeForce GTX 1650 NB DDR6 4GB-V Graphics Card,20000,StarTech,https://www.startech.com.bd/colorful-geforce-gtx-1650-nb-4gb-v-graphics-card
ASUS TUF Gaming GeForce GTX 1630 4GB GDDR6 Graphics Card,20000,StarTech,https://www.startech.com.bd/asus-tuf-gaming-geforce-gtx-1630-4gb-graphics-card
NVIDIA QUADRO P620 2 GB GDDR5 GRAPHICS CARD,20000,TechLand,https://www.techlandbd.com/nvidia-quadro-p620-2gb-graphics-card
MSI GeForce GTX 1630 VENTUS XS 4GB OC GDDR6 Graphics Card,20400,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
MSI GEFORCE GTX 1630 VENTUS XS 4G OC GRAPHICS CARD,20500,TechLand,https://www.techlandbd.com/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
Gigabyte GeForce GTX 1630 OC 4G Graphics Card,20800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1630-oc-4g-graphics-card
Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 Graphics Card,20800,TechLand,https://www.techlandbd.com/palit-gtx-1050-ti-stormx-graphics-card
MSI GeForce GTX 1630 VENTUS XS 4GB OC GDDR6 Graphics Card,21000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
